NAME,CORE MATCHES,% CORE FAMILIES,% NON-CORE,GENOME LENGTH,N50,NO. CONTIGS,NON-ATCG,% GC CONTENT
6,3280,99.9,26.1,4853429,161322,142,2469,52
8,3269,99.5,25.8,4810550,172562,143,3917,52
31,3283,100,25.3,4814170,204858,59,241,52
34,3284,100,25.4,4815185,206855,56,89,52
35,3393,100,26,5012926,206746,102,465,52
36,3273,99.7,25.6,4810601,161322,150,2825,52
42,3284,100,25,4794683,172279,58,527,52
46,3276,99.8,24.5,4749344,206071,51,3974,52
53,3283,100,25.3,4810563,204405,49,273,52
54,3273,99.7,25.5,4803784,161318,143,2725,52
70,3284,100,25.1,4796494,207520,52,195,52
71,3284,100,25,4794357,207350,49,2,52.1
225,3283,100,28.1,4995905,185817,633,1200,51.7
279,3285,100,26,4857257,161318,267,3192,52
361,3283,99.9,25.4,4813816,172186,147,4691,52.1
674,3284,100,25.8,4843190,206679,219,479,52.1
739,3286,100,26,4854975,185463,174,1851,52.1
748,3282,99.9,26.6,4890800,172256,358,1517,52
911,3204,97.6,28.5,4779505,36650,257,3043,52
1012,3283,99.9,25.1,4793658,172432,113,570,52.1
1341,3282,99.9,25.9,4847925,172210,138,697,52
3158,3283,100,26.1,4861842,204508,50,4,52
4305,3283,100,26.1,4860637,204498,47,2,52
4946,3283,100,26,4859147,206485,50,1,52
5330,3283,100,26.1,4861965,204493,54,12,52
5340,3283,100,24,4727622,172311,100,560,52
5740,3283,100,24.4,4753620,204436,51,28,52.1
5861,3283,100,24.3,4744635,204338,47,895,52.1
5887,3280,99.9,24,4721601,204338,47,1551,52
5902,3283,100,23.3,4684781,204339,42,584,52.1
5932,3283,100,25.6,4828489,204338,48,250,52
5933,3283,100,23.9,4721378,161310,54,732,52
6149,3283,100,26.1,4860103,204507,52,105,52
7246,3283,100,26.1,4859915,206485,52,0,52
7433,3282,99.9,25.8,4842039,206386,80,1364,52
7435,3274,99.7,24.3,4721437,206304,47,2842,52
9141,3284,100,23.3,4685782,204338,44,368,52.1
9193,3283,100,24.2,4739445,167826,51,583,52.1
9242,3282,99.9,25.1,4796859,185556,46,832,52
9468,3283,100,24.4,4753449,206383,42,765,52
9469,3284,100,25.6,4829220,220672,41,834,52
10873,3283,100,26.2,4867725,186308,59,2,52
11780,3283,100,26.1,4861574,204488,49,111,52
11783,3283,100,26.1,4862279,176284,53,3,52
13864,3282,99.9,26,4852578,217791,47,1065,52
14546,3282,99.9,23.9,4719049,204338,47,1058,52
14547,3282,99.9,24.3,4742157,217934,45,1084,52.1
14548,3282,99.9,24,4722059,171961,48,973,52
14549,3281,99.9,26.1,4852186,155223,51,1382,52
15250,3282,99.9,29.9,5123788,161284,583,7103,51.8
15251,3282,99.9,24,4727227,204382,69,615,52
15252,3277,99.8,24.2,4725599,172161,45,2723,52.1
15253,3281,99.9,25.9,4848768,217715,54,1250,52
15604,3283,100,26.1,4860455,206425,48,13,52
15619,3283,100,26.1,4860467,204478,48,120,52
18541,3275,99.7,24.2,4717453,200645,51,1834,52
18575,3279,99.8,24.8,4759729,206240,48,854,51.9
18668,3282,99.9,23.8,4717707,206320,47,1334,52.1
18669,3276,99.8,24.1,4720410,110700,85,1750,52
18673,3283,100,23.9,4724301,217754,47,834,52
20939,3281,99.9,23.7,4707195,217121,56,826,52.1
21093,3281,99.9,24.1,4723844,171965,52,1744,52
21130,3281,99.9,24,4727721,204603,58,1584,52
21133,3280,99.9,23.6,4698454,206332,42,1081,52.1
21852,3284,100,23.9,4721003,206380,46,1084,52
21873,3280,99.9,24.1,4721314,206392,41,1293,52
23504,3282,99.9,24.6,4763313,244662,70,1986,52
25197,3253,99.1,24.1,4708865,206380,42,571,52
25270,3280,99.9,24.2,4730547,206426,43,1000,52
29314,3282,99.9,26,4851188,171949,51,2126,52
32480,3283,100,24.5,4753540,206335,41,1132,52
32481,3280,99.9,26.1,4852742,217710,49,1834,52
37840,3285,100,24.8,4778346,220569,46,834,52.1
38433,3281,99.9,24.3,4738663,221749,43,1545,52.1
38434,3281,99.9,24.7,4762153,204339,50,1330,52
38435,3282,99.8,26.9,4901218,206678,51,1393,52
42141,3283,100,25.5,4818978,149427,49,925,52
43969,3283,100,24,4726208,185689,49,733,52
45205,3243,98.8,26.1,4749369,144140,71,8078,52
50881,3281,99.9,24.8,4765426,215634,47,1334,52.1
50891,3282,99.9,24,4722688,206354,42,1311,52
51301,3284,100,23.9,4721897,250204,39,834,52
52952,3282,99.9,26,4851605,206320,49,887,52
53042,3284,100,24.4,4753530,217793,40,825,52
53052,3284,100,24.4,4753836,206356,44,830,52
53067,3284,100,23.7,4711908,206439,42,1154,52.1
53075,3282,99.9,24,4721746,206380,42,834,52
56108,3282,99.9,23.9,4720043,204240,44,715,52.1
56940,3283,100,23.9,4719711,191840,43,1547,52
56941,3283,100,23.9,4720309,250192,45,577,52
56972,3284,100,23.9,4721852,206380,43,584,52
56973,3278,99.8,26,4847945,141641,84,2406,52
56974,3270,99.6,24.4,4739290,67654,139,1432,52.1
56975,3284,100,23.9,4722645,207387,46,834,52
60161,3278,99.8,24.8,4761165,149414,59,1289,51.9
63670,3279,99.8,24,4724916,161310,64,1584,52
65343,3281,99.9,26,4853161,147692,65,1083,52
68666,3284,100,24.5,4763635,206350,42,584,51.9
68667,3284,100,24.6,4763883,217910,43,584,51.9
68700,3284,100,25.6,4832129,204338,45,585,52
68940,3283,100,24.5,4762181,221146,63,603,52
68941,3284,100,23.9,4722247,217910,39,583,52
69886,3283,100,25.9,4850328,190447,57,584,52
69930,3282,99.9,26,4852192,149411,62,864,52
75985,3281,99.9,24.3,4745102,112619,67,1332,52.1
82539,3279,99.8,26,4848663,185454,52,594,52
82540,3281,99.9,24.3,4737985,184893,49,577,52.1
82541,3283,100,23.9,4723872,218004,40,462,52
83284,3283,100,25.6,4832000,204337,47,1082,52
83566,3283,100,25.9,4851510,190447,49,583,52
83574,3280,99.9,23.7,4701717,206273,43,250,52.1
83732,3283,100,24,4730120,218256,42,779,52
83733,3283,100,26,4852947,206380,51,578,52
84444,3284,100,23.9,4722531,206344,42,584,52
84463,3284,100,24.6,4763851,204338,42,584,51.9
85746,3283,100,24,4731473,206474,43,584,52
86904,3283,100,23.8,4713310,155004,55,582,52.1
89090,3283,100,23.9,4721950,171969,45,834,52
89091,3282,99.9,23.5,4698874,245158,41,834,52.1
89987,3281,99.9,23.6,4699534,206333,49,584,52.1
90484,3284,100,24.4,4756104,206468,42,578,52
90486,3276,99.8,24.3,4730953,144798,71,1084,52
90493,3283,100,24.5,4761557,250192,119,825,52
90520,3282,99.9,23.5,4698943,206265,41,584,52.1
91181,3282,99.9,24.4,4752610,206380,43,833,52
91204,3283,100,25.6,4829565,217910,45,583,52
91240,3282,99.9,23.6,4699308,206333,43,834,52.1
91241,3283,100,25.9,4852390,217910,52,576,52
91251,3284,100,24.4,4753728,217910,41,580,52
91252,3282,99.9,23.7,4706688,206586,45,826,52.1
91253,3283,100,25.1,4796205,204338,184,1331,51.9
93507,3284,100,24.4,4753849,206380,45,578,52
93508,3283,100,23.9,4722046,217910,44,584,52
95261,3283,100,24.1,4731776,206450,42,855,52
97258,3284,100,23.9,4722715,217910,43,832,52
97875,3283,100,26.6,4896235,206333,157,584,51.9
98260,3284,100,24.4,4757264,172324,44,576,52
98261,3283,100,24,4727860,206535,43,578,52
99081,3284,100,25.4,4818662,163236,68,2237,52
99753,3285,100,25.3,4814785,185065,55,1255,52
101335,3286,100,27.7,4972835,218004,362,788,51.9
101437,3284,100,25.4,4819496,204388,63,1799,52
101438,3284,100,24.6,4765736,206380,43,793,51.9
101481,3284,100,24.6,4768128,204338,48,576,51.9
101482,3286,100,25.4,4821224,206469,53,1561,52
102535,3283,100,23.9,4722413,203893,47,924,52
102536,3284,100,24.5,4760958,206626,44,464,52
102537,3283,100,24.4,4754687,206380,47,820,52
103603,3285,100,24.8,4780976,206408,58,204,52.1
103663,3283,100,26,4852220,144798,69,463,52
105324,3283,100,25.6,4826392,184345,60,1219,52
107232,3284,100,24.4,4756575,218004,49,728,52
107244,3283,100,24.2,4740650,218162,45,1084,52
107251,3284,100,24.5,4763583,204338,47,581,51.9
107323,3284,100,23.9,4720976,220689,43,735,52
107778,3282,99.9,23.5,4696537,217898,39,566,52.1
109865,3282,99.9,24.5,4754526,146433,68,1576,52
113504,3284,100,23.9,4724662,206380,45,1066,52
115988,3283,100,26,4853456,217910,52,582,52
115992,3284,100,23.9,4724964,218004,43,569,52
116032,3284,100,24.4,4754076,206350,45,722,52
116033,3284,100,24.3,4746939,206414,45,538,52.1
116034,3283,100,23.8,4718586,206345,45,566,52.1
116036,3284,100,24.3,4745324,204338,51,581,52.1
116585,3278,99.8,24.4,4744837,98885,90,3195,52.1
116586,3278,99.8,24,4721995,160961,51,2724,52
117258,3284,100,25.7,4835901,204605,46,581,52
117286,3283,100,23.9,4722401,185454,51,1213,52
117289,3283,100,24.3,4745293,185454,50,1651,52.1
117606,3283,100,23.9,4722131,144798,58,2241,52
117674,3281,99.9,24,4721814,137365,62,1866,52
118964,3283,100,25.9,4852167,206380,48,379,52
119425,3284,100,24.3,4745905,218522,51,618,52.1
119426,3283,100,24.3,4742577,206011,42,583,51.9
119431,3284,100,23.8,4719311,220681,38,478,52.1
119469,3282,99.9,24.3,4746246,217465,49,1329,52.1
122241,3283,100,24,4726291,206474,44,570,52
122242,3284,100,23.9,4723206,203834,49,583,52
122643,3283,100,23.9,4719309,203859,49,834,52.1
122692,3284,100,23.9,4725434,172181,45,477,52
123842,3284,100,23.9,4721790,218463,45,1331,52
123954,3282,99.9,23.9,4723240,153808,51,603,52
126106,3282,99.9,24.3,4745895,155165,62,1247,52.1
126204,3284,100,23.8,4714851,204386,48,1191,52.1
126207,3283,100,25.6,4830003,206380,47,711,52
127522,3274,99.7,25.9,4838333,206375,48,565,52.1
128205,3283,100,25.9,4852248,217905,49,989,52
130506,3284,100,24.3,4745545,153752,55,738,52.1
131442,3283,100,23.7,4710833,204355,48,1361,52.1
131536,3270,99.6,25.9,4837245,144798,76,3195,52.1
131539,3276,99.8,23.6,4690124,204337,50,1081,52.1
131542,3270,99.6,24.5,4743129,53876,167,2317,52.1
132015,3282,99.9,25.9,4851889,149092,71,565,52
132016,3283,100,23.7,4710244,160941,57,575,52.1
140227,3286,100,24.3,4751448,179931,52,570,52.1
142487,3283,100,23.9,4722195,144798,69,2481,52
142681,3280,99.9,23.9,4720777,144798,62,1483,52
142682,3279,99.8,23.6,4697214,139354,65,3037,52.1
143536,3284,100,24.4,4754170,220693,44,584,52
143952,3283,100,24.4,4754773,153763,61,552,52
143954,3283,100,23.9,4724230,171989,62,344,52
146180,3280,99.9,25.7,4829942,139410,66,1955,52
149239,3281,99.9,24.5,4757885,149495,68,0,52
149242,3278,99.8,24.3,4728289,135935,74,0,52.1
149338,3273,99.7,27.1,4910228,103760,91,1334,51.9
149452,3281,99.9,23.5,4694647,112064,68,1789,52.1
