NAME,REFERENCE,MLST ST (EnteroBase),MLST PROFILE (EnteroBase),GENOTYPHI GENOTYPE,GENOTYPHI SNPs CALLED,Inc Types
6,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIB(K)
8,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
31,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,Col440I
34,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
35,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,84,Col(pHAD28)--Col(pHAD28)--Col440II--Col440II; IncFIB(K)
36,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
42,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
46,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
53,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
54,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,83,NA
70,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
71,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
225,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
279,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
361,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
674,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
739,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIB(K)
748,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
911,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
1012,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,NA
1341,7898,1,1_1_1_1_1_1_5,4.3.1.1.EA1,82,IncFIB(K)
3158,7898,1,1_1_1_1_1_1_5,4.3.1.1,82,IncFIB(pHCM2)
